,furnitured,residential site,heating_system,number_floors,Title,number_rooms,net_area,price,ad_date,district,number_bathroom,county,id,Deposit,building_age,floor_wthn_bldng,total_area
36,Hayır,Hayır,Klima,3,Erenköy kiralık 2₺1,2+1,79.0,750 TL,06 Şubat 2019,Erenkoy,1,Kepez,657317352,750,0,Kot 2,90
37,Evet,Evet,Klima,8,HAVUZLU GÜVENLİKLİ SİTEDE LÜKS EŞYALI KİRALIK DAİRE,1+1,55.0,1400 TL,06 Şubat 2019,Lara,1,Muratpasa,657313057,Belirtilmemiş,3,4,63
38,Hayır,Hayır,Klima,3,ANTALYA KEPEZ YEŞİLYURTTA KİRALIK 2+1 DAİRE NO:17321,2+1,100.0,850 TL,06 Şubat 2019,Duraliler,1,Kepez,657313458,Belirtilmemiş,5-10 arası,1,100
39,Hayır,Hayır,Yok,4,sahibinden kiralık 155 m2,3+1,155.0,850 TL,06 Şubat 2019,Dokuma,4,Kepez,657259447,Belirtilmemiş,16-20 arası,4,155
40,Hayır,Hayır,Klima,3,gúzel oba rauf denktaşda 2+1 bahçeli giriş Kat kiralık,2+1,105.0,1600 TL,06 Şubat 2019,Lara,1,Muratpasa,657307215,1.600,5-10 arası,Zemin Kat,115
41,Hayır,Hayır,Klima,4,BAĞLIK MAHALLESİNDE 2+1 KİRALIK DAİRE,2+1,100.0,900 TL,06 Şubat 2019,Kumluca,1,Kumluca,657304976,Belirtilmemiş,0,Kot 1,115
42,Hayır,Hayır,Klima,4,KONYAALTI HURMA KİRALIK 2+1 HAVUZLU DAİRE,2+1,80.0,1100 TL,06 Şubat 2019,Merkez,1,Konyaaltı,657303559,1.100,4,2,90
43,Hayır,Evet,Klima,4,KONYAALTİ SARİSU 3+1 dubleks,3+1,120.0,1200 TL,06 Şubat 2019,Arapsuyu,2,Konyaaltı,657305872,1.200,5-10 arası,4,130
44,Hayır,Hayır,Yok,4,MOLLAYUSUFDA KİRALIK 2+1 TERAS,2+1,150.0,1250 TL,06 Şubat 2019,Arapsuyu,1,Konyaaltı,657304014,1.250,11-15 arası,4,160
45,Hayır,Hayır,Klima,5,BOŞ OLARAK KİRAYA VERİLECEKTİR,2+1,100.0,950 TL,06 Şubat 2019,Alanya,2,Alanya,657285999,950,11-15 arası,3,125
46,Hayır,Hayır,Klima,10,Antalya Alanya Payallar Da Deniz Manzaralı Havuzlu 2+1 Daire,2+1,90.0,750 TL,06 Şubat 2019,Alanya,1,Alanya,657173566,500,0,4,100
47,Hayır,Hayır,Merkezi (Pay Ölçer),8,BARINAKLAR'DA SIFIR BİNADA KİRALIK DAİRELER 3+1,3+1,140.0,6000 TL,06 Şubat 2019,Lara,2,Muratpasa,644178342,Belirtilmemiş,0,7,150
48,Evet,Evet,Klima,3,KÜLTÜRDE EŞYALI 2+0 YÜKSEK GİRİŞ DAİRE 850 TL!!!,2+0,45.0,850 TL,06 Şubat 2019,Ahatlı,1,Kepez,657293573,850,3,Yüksek Giriş,55
49,Evet,,Klima,14,MEDİCALPARK YAKINI HAVUZLU GÜVENLİKLİ SİTEDE MÖBLELİ 2+1 DAİRE,2+1,70.0,1400 TL,06 Şubat 2019,Fener,1,Muratpasa,552736772,Belirtilmemiş,16-20 arası,6,85
50,Hayır,Evet,Klima,8,UNCALI SİTELER MH. 3+1 KİRALIK DAİRE,3+1,140.0,1250 TL,06 Şubat 2019,Arapsuyu,1,Konyaaltı,657288746,Belirtilmemiş,5-10 arası,8,145
51,Hayır,Hayır,Klima,5,ATLAS EMLAKTAN TERTEMİZ DUBLEX ARAYANLARA 4+1,4.5+1,200.0,1500 TL,06 Şubat 2019,Alanya,2,Alanya,657283907,1.500,5-10 arası,Çatı Katı,225
52,Evet,Hayır,Klima,7,varlık mah de Esyalı daire,2+1,115.0,1250 TL,06 Şubat 2019,Bahcelievler,1,Muratpasa,657293508,1.250,11-15 arası,3,120
53,Hayır,Hayır,Soba,3,CİKCİLLİDE KİRALIK 2+1 DAİRE,2+1,100.0,500 TL,06 Şubat 2019,Alanya,1,Alanya,657230328,Belirtilmemiş,5-10 arası,Kot 3,110
54,Hayır,Hayır,Yok,2,Terracity yakını 2+1 masrafsız,2+1,70.0,1100 TL,06 Şubat 2019,Fener,1,Muratpasa,657289950,1.100,16-20 arası,1,85
55,Evet,Hayır,Klima,2,GÜZELOBA'da KATTA FULL EŞYALI KİRALIK 1+1 DAİRE,1+1,40.0,1300 TL,06 Şubat 2019,Lara,1,Muratpasa,657288018,2.600,4,1,50
56,Hayır,Hayır,Klima,5,MEMUREVLERİNDE GÜN ISILI 3+1 130 m2 BEKARA AİLEYE UYGUN,3+1,120.0,700 TL,06 Şubat 2019,Bahcelievler,1,Muratpasa,657286691,700,21-25 arası,5,130
57,Hayır,Hayır,Klima,5,KONAKLI ÇARŞI MERKEZİNDE KİRALIK 2+1 DAİRE,2+1,100.0,550 TL,06 Şubat 2019,Alanya,1,Alanya,657283856,Belirtilmemiş,5-10 arası,Yüksek Giriş,110
58,Hayır,Hayır,Klima,4,AILE VEYA BAKARA KIRALIK UYGUN DAIRELER TOROS,2+1,75.0,1100 TL,06 Şubat 2019,Merkez,1,Konyaaltı,657283491,Belirtilmemiş,0,2,80
59,Evet,Evet,Klima,12,KUNDU CLASS LUKS 3+1 SAHİBİNDEN,3+1,185.0,2250 TL,06 Şubat 2019,Koyler,2,Aksu,463049986,4.500,5-10 arası,4,185
60,Evet,Hayır,Klima,5,MEYDANKAVAĞI 12.CAD.YAKINI TERASLI FUL EŞYALI 1+1 KİRALIK DAİRE,1+1,55.0,1500 TL,06 Şubat 2019,Guzeloluk,1,Muratpasa,644158101,1.500,11-15 arası,5,65
61,Hayır,Hayır,Soba,4,OBAGÖLDE BOŞ KİRALIK 2+1 DAİRE,2+1,90.0,450 TL,06 Şubat 2019,Beldeler,1,Alanya,657283829,400,21-25 arası,Zemin Kat,100
62,Evet,Hayır,Klima,4,YALI CADDE DE EŞYALI 2+1 KİRALIK DAİRE,2+1,83.0,1900 TL,06 Şubat 2019,Lara,1,Muratpasa,657279406,1.900,5-10 arası,Yüksek Giriş,90
63,Evet,Hayır,Klima,5,Üniversite Emniyet Müdürlüğü Vdk Yakını EşyalıKatta KiralıkDaire,1+1,50.0,950 TL,06 Şubat 2019,Arapsuyu,1,Konyaaltı,657278759,950,5-10 arası,3,60
64,Hayır,Hayır,Klima,4,MANAVGAT SİDEDE DENİZ MANZARALI KİRALIK GENİŞ 2+1 DAİRE,2+1,125.0,2700 TL,06 Şubat 2019,Manavgat,1,Manavgat,657277861,Belirtilmemiş,5-10 arası,4,130
65,Hayır,,Klima,7,ÇANKAYA MASADAĞINDA SÜPER DENİZ MANZARALI SİTEDE KİRALIK DAİRE,2+1,125.0,900 TL,06 Şubat 2019,Erenkoy,1,Kepez,657274600,900,11-15 arası,3,135
66,Evet,Hayır,Klima,5,Çağlayanda Full Eşyalı 2+1 Kiralık Daire,2+1,85.0,1900 TL,06 Şubat 2019,Lara,1,Muratpasa,657276487,Belirtilmemiş,5-10 arası,Yüksek Giriş,95
67,Hayır,Hayır,Yok,3,TOROS'TA EXPO PARKINA CEPHE 90 M2 ARAKAT 2+1 DAİRE________,2+1,85.0,1200 TL,06 Şubat 2019,Merkez,1,Konyaaltı,657270391,1.200,16-20 arası,2,90
68,Belirtilmemiş,Hayır,Yok,4,KIZILARIK KIZILIRMAK CADDESİNE 150 MT LÜX KİRALK 0 DAİRE,2+1,100.0,900 TL,06 Şubat 2019,Yenigun,2,Muratpasa,657204219,900,0,Kot 1,105
69,Hayır,Hayır,Yok,4,KÜLTÜR MAHALLESİN DE ARA KATTA 1+1 SIFIR DAİRE ÜNİVERSİTEYE YAKI,1+1,45.0,700 TL,06 Şubat 2019,Ahatlı,1,Kepez,633486117,Belirtilmemiş,0,3,50
70,Hayır,Hayır,Yok,3,ERENKÖY DE SIFIR ASANSÖRLÜ ANAYOL KENARI KATTA DAİRELER,2+1,100.0,850 TL,06 Şubat 2019,Erenkoy,1,Kepez,657238972,850,0,1,115
71,Hayır,Hayır,Soba,3,Sahibinden kiralık daire.,2+1,70.0,500 TL,06 Şubat 2019,Yeniemek,1,Kepez,657134526,Belirtilmemiş,3,Yüksek Giriş,80
72,Hayır,,Klima,4,HURMA MAH DE 145 M2 2+1 DUBLEX 1800 TL,2+1,145.0,1800 TL,06 Şubat 2019,Merkez,2,Konyaaltı,657271553,1.920,2,Kot 4,150
73,Hayır,Evet,Yok,3,Güzel obada okula postaneye otobüse yakın 2+1 Dayre,2+1,85.0,1250 TL,06 Şubat 2019,Lara,1,Muratpasa,657269456,1.250,0,Kot 2,95
74,Evet,,Klima,3,SAHİBİNDEN EŞYALI DAİRE !!,1+1,65.0,1500 TL,06 Şubat 2019,Arapsuyu,1,Konyaaltı,596639012,1.500,5-10 arası,Bahçe Katı,70
75,Hayır,Hayır,Klima,5,AREL DEN ÇAĞLAYAN DA ARA KATTA 3+1 ÇİFT BANYOLU KİRALIK,3+1,110.0,1500 TL,06 Şubat 2019,Lara,2,Muratpasa,657266127,Belirtilmemiş,5-10 arası,2,120
76,Evet,Evet,Klima,2,larada deniz görür 2+1 full esyali,2+1,130.0,1600 TL,06 Şubat 2019,Lara,1,Muratpasa,657197220,1,21-25 arası,2,150
77,Evet,Hayır,Klima,6,DEPOZİTO ve KOMİSYON YOK!! ÇALIŞAN ve ÖĞRENCİLERE ÖZEL 2+0 APART,1+1,,700 TL,06 Şubat 2019,Yenigun,1,Muratpasa,539389619,Belirtilmemiş,1,4,55
78,Hayır,Evet,Doğalgaz (Kombi),3,SIFIR LÜX SİTEDE AYRI MUTFAK EBEVYN BANYOLU 2+1 AİDAT DAHİL 2000,2+1,110.0,2000 TL,06 Şubat 2019,Lara,2,Muratpasa,657259163,2.000,0,1,125
79,Hayır,Hayır,Yok,3,KÜTÜKÇÜDE KİRALIK 2+1 GENİŞ YÜKSEK GİRİŞ,2+1,95.0,650 TL,06 Şubat 2019,Erenkoy,1,Kepez,657259004,650,1,Yüksek Giriş,105
80,Hayır,Hayır,Klima,3,gündoğdu mah yeşilırmak cadde dibi 4+1 dubleks,4+1,150.0,850 TL,06 Şubat 2019,Yeniemek,2,Kepez,657168231,Belirtilmemiş,5-10 arası,3,180
81,Hayır,Hayır,Klima,3,Sahibinden kiralık,2+1,100.0,700 TL,06 Şubat 2019,Sutculer,1,Kepez,657172992,Belirtilmemiş,3,2,110
82,Evet,Hayır,Klima,5,avsallarda boş yada eşyalı verilecek 2+2 dublex kiralık daire,2+2,150.0,2000 TL,06 Şubat 2019,Alanya,2,Alanya,657240723,2.000,5-10 arası,1,180
