,furnitured,residential site,heating_system,number_floors,Title,number_rooms,net_area,price,ad_date,district,number_bathroom,county,id,Deposit,building_age,floor_wthn_bldng,total_area
1668,-,Hayır,Klimalı,3,Gelişim den masal park karşısı kiralık 2+1,2+1,105m,550.0,2019-01-31 00:00:00,Varsak Karşıyaka Mahallesi',1,Kepez,6892675,-,0 (Yeni),1. Kat,120m
1669,-,Hayır,Klimalı,4,Sütcüler devlet hastnaesine yakın 3+1 135 m2sıfır asansörlü daire,3+1,120m,700.0,2019-01-31 00:00:00,Habibler Mahallesi',1,Kepez,6916624,-,0 (Yeni),1. Kat,135m
1670,-,Hayır,Klimalı,4,Torosda üniversite yakını jadeden mobilyalı 1+1 daireler k009435,1+1,40m,1300.0,2019-01-31 00:00:00,Toros Mahallesi',1,Konyaaltı,6729389,-,0 (Yeni),2. Kat,50m
1671,-,Hayır,Klimalı,5,Gelişim den kepez devlet hastanesi karşısı lüx 3+1,3+1,125m,750.0,2019-01-31 00:00:00,Mehmet Akif Ersoy Mahallesi',1,Kepez,6892639,750 TRY,5-10,1. Kat,140m
1672,-,Hayır,-,7,Life  gayrimenkulden  ici  full  yapılı  2+1  kullanısli  daire,-,85m,1000.0,2019-02-01 00:00:00,Hurma Mahallesi',-,Konyaaltı,6900633,1000 TRY,-,-,95m
1673,-,Hayır,-,5,Antalya konyaltı altınkum kiralık2+1 2ci katta,-,90m,1200.0,2019-02-01 00:00:00,Altınkum Mahallesi',-,Konyaaltı,6902759,1200 TRY,-,-,100m
1674,-,Hayır,Klimalı,3,Kuzeyyaka da 4+1 kiralık dubleks,4+1,220m,850.0,2019-02-01 00:00:00,Kuzeyyaka Mahallesi',2,Kepez,6899878,-,5-10,3. Kat,230m
1675,-,Hayır,-,5,Konyaaltı uluçda 1+1 80m2 düz giriş eşyalı kiralık daire,-,80m,1150.0,2019-02-01 00:00:00,Altınkum Mahallesi',-,Konyaaltı,6891229,-,-,-,90m
1676,-,Hayır,-,2,Antalya konyaaltı uluç kiralık dublex 3+1,-,135m,1200.0,2019-02-01 00:00:00,Uluç Mahallesi',-,Konyaaltı,6890062,1200 TRY,-,-,180m
1677,-,Hayır,-,4,Bu fiyata kaçmaz ahatlı mah  bodrum kat eşyasız,-,50m,550.0,2019-02-01 00:00:00,Ahatlı Mahallesi',-,Kepez,6890373,550 TRY,-,-,55m
1678,-,Hayır,-,10,Kundu turizm yolu full deniz manzaralı 3+1 esyalı kiralık,-,130m,1750.0,2019-02-01 00:00:00,Güzeloba Mahallesi',-,Muratpaşa,6939447,1750 TRY,-,-,135m
1679,-,Hayır,Kombi Doğalgaz,3,Konyaaltında kiralık mobilyalı dubleks daire,3+2,350m,4000.0,2019-02-01 00:00:00,Toros Mahallesi',2,Konyaaltı,6543112,5000 TRY,5-10,Çatı Dubleks,350m
1680,-,Hayır,-,4,Asansörlü yüzme havuzlu sit e 24 saat kameralı,-,120m,650.0,2019-02-01 00:00:00,Varsak Karşıyaka Mahallesi',-,Kepez,6887816,650 TRY,-,-,130m
1681,-,Hayır,-,4,Kültürde eşyalı kiralık daire 1+1 katta,-,50m,1200.0,2019-02-01 00:00:00,Kültür Mahallesi',-,Kepez,6890328,1200 TRY,-,-,55m
1682,-,Hayır,-,4,Konyaaltı hurmada havuzlu full eşyalı 1+1 kiralık daire,-,60m,1350.0,2019-02-01 00:00:00,Hurma Mahallesi',-,Konyaaltı,6941508,1350 TRY,-,-,65m
1683,-,Hayır,Klimalı,4,2+1 kiralık eşyali daire yüksek giris memur evleri,2+1,90m,1000.0,2019-02-01 00:00:00,Memurevleri Mahallesi',1,Muratpaşa,6889101,1000 TRY,11-20,Yüksek giriş,100m
1684,-,Hayır,Klimalı,5,Kızılarikta 2+1 eşyali daire,2+1,95m,1000.0,2019-02-01 00:00:00,Kızılarık Mahallesi',1,Muratpaşa,6889105,1000 TRY,5-10,Kot 3,100m
1685,-,Hayır,Kombi Doğalgaz,7,Muratpaşa bayındır da eşyalı kiralık daire,3+1,120m,1500.0,2019-02-01 00:00:00,Bayındır Mahallesi',1,Muratpaşa,6939687,-,5-10,7. Kat,125m
1686,-,Hayır,-,3,Ahisarda kiralik daire2+1 zemin kat,-,80m,800.0,2019-02-01 00:00:00,A. Hisar Mahallesi',-,Manavgat,6901974,800 TRY,-,-,90m
1687,-,Hayır,-,5,Konyaaltı pınarbaşında 0 yüksek giriş daire,-,75m,1100.0,2019-02-01 00:00:00,Altınkum Mahallesi',-,Konyaaltı,6888013,-,-,-,85m
1688,-,Hayır,-,4,Life  gayrimenkulden  luks  full+full  esyalı1+1  daire,-,55m,1400.0,2019-02-01 00:00:00,Liman Mahallesi',-,Konyaaltı,6903309,1400 TRY,-,-,65m
1689,-,Hayır,Klimalı,10,Sarısu da lüx resedens te 2+1,2+1,85m,2500.0,2019-02-01 00:00:00,Sarısu Mahallesi',1,Konyaaltı,6655879,2500 TRY,5-10,1. Kat,85m
1690,-,Hayır,Klimalı,3,Güzelobada 2+1 2esyali site icinde,2+1,95m,1300.0,2019-02-01 00:00:00,Güzeloba Mahallesi',1,Muratpaşa,6929652,1500 TRY,20 ve üzeri,1. Kat,100m
1691,-,Hayır,-,4,Konyaaltı limanda havuzlu sauna fitnıs 2+1 eşyalı kiralık daire,-,96m,1800.0,2019-02-01 00:00:00,Liman Mahallesi',-,Konyaaltı,6893678,1800 TRY,-,-,100m
1692,-,Hayır,Klimalı,12,Kiralık rezidans mahmutlarda 1000 tl 2+1 sıfır 6 kat,2+1,110m,1000.0,2019-02-01 00:00:00,Mahmutlar Mahallesi',1,Alanya,6891498,1000 TRY,0 (Yeni),6. Kat,110m
1693,-,Hayır,-,3,Antalya konyaaltı altınkum mah kiralık eşylalı 1+1 daire sahilde,-,75m,1850.0,2019-02-01 00:00:00,Altınkum Mahallesi',-,Konyaaltı,6702405,2000 TRY,-,-,75m
1694,Eşyalı,Hayır,Klimalı,5,Alanyada ultra lüx full eşyalı 1+1 kiralık daire,1+1,67m,1500.0,2019-02-01 00:00:00,Kestel Mahallesi',1,Alanya,6896217,-,0 (Yeni),2. Kat,77m
1695,-,Hayır,Klimalı,5,Damlataşta aktıvıtelı sıtede 1+1 full esyalı daıre,1+1,68m,1700.0,2019-02-01 00:00:00,Saray Mahallesi',1,Alanya,6939166,-,0 (Yeni),2. Kat,70m
1696,-,Hayır,-,4,Atatürk devlet has yakını üçgen mah 130 m2 2+1 kiralık daire,-,120m,750.0,2019-02-01 00:00:00,Üçgen Mahallesi',-,Muratpaşa,6895710,-,-,-,130m
1697,-,Hayır,Klimalı,5,Damlataşta mayıs ayına kadar 2+1 esyalı kıralık daıre aktıvıtelı,2+1,115m,2500.0,2019-02-01 00:00:00,Saray Mahallesi',2,Alanya,6939126,-,0 (Yeni),5. Kat,120m
1698,-,Hayır,Klimalı,4,Yalı caddesi güzeloluk ta kiralık 1+1 eşyalı giriş daire,1+1,80m,1300.0,2019-02-01 00:00:00,Güzeloluk Mahallesi',1,Muratpaşa,6483807,3000 TRY,5-10,Düz giriş,80m
1699,-,Hayır,-,4,3+1 eşyalı 800 tl bu fıyata kaçmaz,-,100m,800.0,2019-02-01 00:00:00,Yeşilyurt Mahallesi',-,Kepez,6896198,800 TRY,-,-,110m
1700,-,Hayır,Kombi Doğalgaz,8,Uncalı da 3+1 geniş kiralık daire,3+1,130m,2000.0,2019-02-01 00:00:00,Uncalı Mahallesi',1,Konyaaltı,6895480,2000 TRY,0 (Yeni),7. Kat,145m
1701,-,Hayır,Yerden ısıtma,2,Antalya döşemealtı çıplaklı site içi ultralux 3+1 villa,3+1,250m,3800.0,2019-02-01 00:00:00,Çıplaklı Mahallesi',2,Döşemealtı,6538401,3800 TRY,1,2. Kat,250m
1702,-,Hayır,Klimalı,5,3+1 ful eşyalı daire memur evleri,3+1,130m,1400.0,2019-02-01 00:00:00,Memurevleri Mahallesi',1,Muratpaşa,6889097,1400 TRY,11-20,Kot 3,150m
1703,-,Hayır,-,4,Antalya kepez yenidoğan mah de 2+1,-,80m,700.0,2019-02-01 00:00:00,Yeni Doğan Mahallesi',-,Kepez,6540981,700 TRY,-,-,80m
1704,-,Hayır,-,3,Kepez kuzeyyaka da cadde üstü 2+1 kiralık y  giris,-,85m,600.0,2019-02-01 00:00:00,Kuzeyyaka Mahallesi',-,Kepez,6637989,600 TRY,-,-,85m
1705,-,Hayır,-,4,Konyaaltı limanda havuzlu 3+1 full eşyalı kiralık dubleks daire,-,175m,1750.0,2019-02-01 00:00:00,Liman Mahallesi',-,Konyaaltı,6541898,1750 TRY,-,-,175m
1706,-,Hayır,-,4,Konyaaltı limanda havuzlu 2+1 full eşyalı kiralık daire,-,96m,1400.0,2019-02-01 00:00:00,Liman Mahallesi',-,Konyaaltı,6938692,1400 TRY,-,-,100m
1707,-,Hayır,-,4,Antalya konyaaltı pınarbaşı mahallesinde kiralık 2 + 1 daire,-,100m,1400.0,2019-02-01 00:00:00,Pınarbaşı Mahallesi',-,Konyaaltı,6895360,1400 TRY,-,-,110m
1708,-,Hayır,-,4,Lifegayrimenkulden  4+1  esyalı  luks  otel  konseptinde  daire,-,135m,4000.0,2019-02-01 00:00:00,Liman Mahallesi',-,Konyaaltı,6897483,4000 TRY,-,-,145m
1709,-,Hayır,-,8,Antalya konyaaltı pınarbaşı mahallesinde kiralık 3+1 daire,-,150m,1700.0,2019-02-01 00:00:00,Pınarbaşı Mahallesi',-,Konyaaltı,6893647,1700 TRY,-,-,170m
1710,-,Evet,Klimalı,4,Kızılarık aşık veysel cad  3+1 sıfır hesaplı dubleks daire,3+1,185m,1250.0,2019-02-01 00:00:00,Yeşildere Mahallesi',2,Muratpaşa,6649346,-,1,4. Kat,200m
1711,-,Evet,Klimalı,6,Göksu mahallesinde site içi kiralık arakat daire,2+1,95m,650.0,2019-02-01 00:00:00,Habibler Mahallesi',1,Kepez,6898598,-,5-10,5. Kat,105m
1712,-,Hayır,-,4,Konyaaltı limanda havuzlu sauna fitnıs 2+1 full eşyalı kiralık d,-,96m,1800.0,2019-02-01 00:00:00,Liman Mahallesi',-,Konyaaltı,6886401,1800 TRY,-,-,100m
1713,-,Hayır,-,4,Konyaaltı limanda havuzlu 2+1 full eşyalı kiralık daire,-,96m,1400.0,2019-02-01 00:00:00,Liman Mahallesi',-,Konyaaltı,6938517,1400 TRY,-,-,100m
1714,-,Hayır,-,4,Liman da güvenlikli kapalı garajlı sitede eşyalı lux 2+1 katta,-,95m,2750.0,2019-02-01 00:00:00,Liman Mahallesi',-,Konyaaltı,6937982,-,-,-,105m
1715,-,Hayır,Klimalı,3,Güzelobada site icinde 1+1mobilyali daire,1+1,65m,1500.0,2019-02-01 00:00:00,Çaybaşı Mahallesi',1,Muratpaşa,6899229,1500 TRY,5-10,Yüksek giriş,70m
1716,-,Hayır,-,10,Lüks site içersinde kiralık 2+1 amerikan mutfak daire,-,110m,1250.0,2019-02-01 00:00:00,Cikcilli Mahallesi',-,Alanya,6891370,-,-,-,115m
1717,-,Hayır,-,4,Antalya konyaaltı uncalı konaklar böl havuzlu kiralık 3+1 daire,-,170m,4000.0,2019-02-01 00:00:00,Uncalı Mahallesi',-,Konyaaltı,5639514,4000 TRY,-,-,170m
1718,-,Hayır,-,3,Antalya konyaaltı altınkum sahilde kiralık 2+1 daire,-,115m,1200.0,2019-02-01 00:00:00,Altınkum Mahallesi',-,Konyaaltı,6918269,1200 TRY,-,-,115m
1719,-,Hayır,-,3,Antalya lara çağlayan mah kiralık 3+1 eşylalı daire,-,135m,1800.0,2019-02-01 00:00:00,Çağlayan Mahallesi',-,Muratpaşa,6846732,1800 TRY,-,-,135m
1720,-,Hayır,-,3,Kütükçü kıralık 3+1 sıfır,-,120m,750.0,2019-02-01 00:00:00,Kütükçü Mahallesi',-,Kepez,6940796,-,-,-,125m
1721,-,Hayır,-,4,Life gayrimenkulden ayrı mutfaklı genıs yuksek giriş 2+1 daire,-,90m,1000.0,2019-02-01 00:00:00,Hurma Mahallesi',-,Konyaaltı,6873912,1000 TRY,-,-,110m
1722,-,Hayır,-,4,Toros  mahallesinde  1+1  kiralık  boş  klimalı  daire,-,55m,1100.0,2019-02-01 00:00:00,Pınarbaşı Mahallesi',-,Konyaaltı,6873249,-,-,-,60m
1723,-,Hayır,-,4,Konyaaltı  torosda  sıfır  eşyalı  1+1  kiralık  daire,-,55m,1350.0,2019-02-01 00:00:00,Toros Mahallesi',-,Konyaaltı,6873133,-,-,-,60m
1724,-,Hayır,-,7,Meydankavağı havuzlu site içerisinde 3+1 150m2,-,150m,1500.0,2019-02-01 00:00:00,Meydankavağı Mahallesi',-,Muratpaşa,6943686,-,-,-,165m
1725,-,Hayır,-,5,Kiralık  3+1  alanya  merkez  cuma  pazarı,-,165m,1250.0,2019-02-01 00:00:00,Şekerhane Mahallesi',-,Alanya,6945283,1250 TRY,-,-,170m
1726,-,Hayır,Doğalgaz sobalı,5,Varsak karsiyakada ismail iltemir okuluna yakin giris 2+1 daire,2+1,90m,550.0,2019-02-01 00:00:00,Varsak Karşıyaka Mahallesi',1,Kepez,6875061,550 TRY,5-10,Yüksek giriş,95m
1727,-,Hayır,-,4,Konyaaltı  toros  mahallesinde  eşyalı  1+1  kiralık  daire,-,55m,1400.0,2019-02-01 00:00:00,Toros Mahallesi',-,Konyaaltı,6873073,-,-,-,60m
1728,-,Hayır,Doğalgaz sobalı,11,Duden selalesine yurume mesafesinde katda uygun fiyata daire,3+1,135m,500.0,2019-02-01 00:00:00,Şelale Mahallesi',1,Kepez,6875069,500 TRY,5-10,8. Kat,140m
1729,-,Hayır,-,3,Kuzeyyaka mah  100 m2  2+1 2  kat daire,-,100m,600.0,2019-02-01 00:00:00,Kuzeyyaka Mahallesi',-,Kepez,6617156,600 TRY,-,-,100m
1730,-,Hayır,-,4,Konyaaltı hurmada havuzlu 2+1 full eşyalı kiralık daire,-,96m,1650.0,2019-02-01 00:00:00,Hurma Mahallesi',-,Konyaaltı,6871611,1650 TRY,-,-,100m
1731,-,Hayır,-,4,Konyaaltı hurmada havuzlu 4+1 dubleks kiralık daire,-,175m,1500.0,2019-02-01 00:00:00,Hurma Mahallesi',-,Konyaaltı,6550804,1500 TRY,-,-,175m
1732,-,Hayır,-,8,Konyaaltı  limanda  merkezi  konumda  2+1  eşyalı  kiralık,-,100m,1300.0,2019-02-01 00:00:00,Liman Mahallesi',-,Konyaaltı,6871286,-,-,-,110m
1733,-,Hayır,Doğalgaz sobalı,3,Varsak karsiyaka mahallesinde katda temiz 2+1 daire,2+1,90m,600.0,2019-02-01 00:00:00,Varsak Karşıyaka Mahallesi',1,Kepez,6871796,600 TRY,4,Kot 3,100m
1734,-,Hayır,-,4,Konyaaltı  uncalı  konaklar  bölgesinde  eşyalı  1+1  kiralık  da,-,50m,1350.0,2019-02-01 00:00:00,Hurma Mahallesi',-,Konyaaltı,6871490,-,-,-,60m
1735,-,Hayır,-,3,Kuzey yakada kiralık yüksek giriş,-,85m,550.0,2019-02-01 00:00:00,Kuzeyyaka Mahallesi',-,Kepez,6613999,550 TRY,-,-,85m
1736,-,Hayır,-,4,Konyaaltı  hurmada  lüks  2+1  doğalgazlı  eşyalı  kiralık,-,90m,2500.0,2019-02-01 00:00:00,Hurma Mahallesi',-,Konyaaltı,6871422,2500 TRY,-,-,100m
1737,-,Hayır,-,10,Gençlik mah  deniz gören 4+1 280m2,4+1,280m,3000.0,2019-02-01 00:00:00,Gençlik Mahallesi',2,Muratpaşa,6611703,-,11-20,2. Kat,280m
1738,-,Hayır,Klimalı,2,Konyaaltı gürsu da havuzlu sitede 3+1 mobilyalı daire,3+1,165m,2500.0,2019-02-01 00:00:00,Gürsu Mahallesi',1,Konyaaltı,6868579,2500 TRY,11-20,2. Kat,180m
1739,-,Hayır,Klimalı,5,şehir merkezinde sıfır 2+1 amerikan mutfak çatı katı daire,2+1,100m,1200.0,2019-02-01 00:00:00,Güller Pınarı Mahallesi',1,Alanya,6869425,1200 TRY,4,Çatı Katı,110m
1740,-,Hayır,-,3,Han emlakdan yeni mahallede eşyalı kiralık 2+1 katta daire,-,90m,1200.0,2019-02-01 00:00:00,Yeni Mahallesi',-,Kepez,6868157,1200 TRY,-,-,110m
1741,-,Hayır,-,4,Konyaaltı hurmada güvenlik havuzlu 2+1 full eşyalı kiralık daire,-,90m,1700.0,2019-02-01 00:00:00,Hurma Mahallesi',-,Konyaaltı,6868887,1700 TRY,-,-,96m
1742,-,Hayır,Klimalı,5,Obagölde ultra lüx eşyalı günlük kiralık daireler,2+1,120m,2000.0,2019-02-01 00:00:00,Oba Mahallesi',2,Alanya,6786621,2000 TRY,0 (Yeni),3. Kat,130m
1743,-,Hayır,Klimalı,2,Güzeloba da havuzlu sıfır sitede 1+1 kiralık daire,1+1,50m,1000.0,2019-02-01 00:00:00,Güzeloba Mahallesi',1,Muratpaşa,6866052,1000 TRY,0 (Yeni),Yüksek giriş,60m
1744,-,Hayır,-,12,Alanya mahmutlarda 2+1 ayrı mutfaklı sıfır kiralık residence,-,100m,1050.0,2019-02-01 00:00:00,Mahmutlar Mahallesi',-,Alanya,6865827,-,-,-,105m
1745,-,Hayır,Klimalı,10,5m migros arkasında ful aktiviteli site içerisinde eşyalı daire,2+1,120m,3000.0,2019-02-01 00:00:00,Cikcilli Mahallesi',2,Alanya,6867621,3000 TRY,5-10,6. Kat,130m
1746,-,Hayır,Klimalı,10,Alanyum avm yanında site içi eşyalı havuzlu temiz 2+1 daire,2+1,110m,2250.0,2019-02-01 00:00:00,Cumhuriyet Mahallesi',1,Alanya,6867606,2250 TRY,5-10,3. Kat,120m
1747,-,Hayır,-,3,Han emlakdan atatürk mah kiralık 2+1 yüksek giriş,-,70m,650.0,2019-02-01 00:00:00,Atatürk Mahallesi',-,Kepez,6944876,650 TRY,-,-,85m
1748,-,Hayır,-,4,Life  gayrimenkulden  havuz  basi  luks  esyali  1+1daire,-,55m,1200.0,2019-02-01 00:00:00,Hurma Mahallesi',-,Konyaaltı,6874454,1200 TRY,-,-,65m
1749,-,Hayır,Klimalı,5,Bayındır mahallesinde full eşyalı kiralık daire,1+1,40m,750.0,2019-02-01 00:00:00,Bayındır Mahallesi',1,Muratpaşa,6941521,750 TRY,11-20,Bahçe katı,45m
1750,-,Hayır,Klimalı,12,Gebızlı mahde sıte ıçerisinde asansorlu kıralık daıre,3+1,135m,700.0,2019-02-01 00:00:00,Gebizli Mahallesi',1,Muratpaşa,6875306,725 TRY,5-10,10. Kat,145m
1751,-,Hayır,-,9,Liman da ayrı mutfaklı 165 m2 daire,-,150m,1200.0,2019-02-01 00:00:00,Liman Mahallesi',-,Konyaaltı,6875726,-,-,-,165m
1752,-,Hayır,-,4,Konyaaltı limanda havuzlu 1+1 lüks eşyalı kiralık daire,-,60m,1500.0,2019-02-01 00:00:00,Liman Mahallesi',-,Konyaaltı,6885597,1500 TRY,-,-,65m
1753,-,Hayır,Isıtma yok,4,öğretmenevleri mahallesinde yola yakın önü açık 2 artı 1 kiralı,2+1,90m,1500.0,2019-02-01 00:00:00,Öğretmenevleri Mahallesi',1,Konyaaltı,6885001,1500 TRY,5-10,2. Kat,110m
1754,-,Hayır,Isıtma yok,5,Kiralık ev,1+1,80m,750.0,2019-02-01 00:00:00,Hurma Mahallesi',1,Konyaaltı,6885230,750 TRY,4,Yüksek giriş,75m
1755,-,Hayır,-,4,Konyaaltı limanda denize sıfır havuzlu full eşyalı kiralık daire,-,60m,1500.0,2019-02-01 00:00:00,Liman Mahallesi',-,Konyaaltı,6885651,1500 TRY,-,-,65m
1756,-,Hayır,Klimalı,5,Sahibinden havuzlu türk hamamı saunalı full mobılyalı recidans,2+1,115m,1800.0,2019-02-01 00:00:00,Liman Mahallesi',Yok,Konyaaltı,6668541,-,2,4. Kat,115m
1757,-,Hayır,Klimalı,5,Sahibinden denize çok yakın havuzlu türk hamamı saunalı,2+1,105m,1800.0,2019-02-01 00:00:00,Liman Mahallesi',2,Konyaaltı,6670630,-,4,3. Kat,105m
1758,-,Hayır,Klimalı,6,Sampi kavşağı yakını cadde üzerinde 250m2 kiralık daire,4+1,250m,3000.0,2019-02-01 00:00:00,Zerdalilik Mahallesi',1,Muratpaşa,6631480,-,11-20,4. Kat,250m
1759,-,Hayır,-,10,Antalya konyaaltı uncalı mahallesi kiralık 3 + 1 daire,-,150m,1300.0,2019-02-01 00:00:00,Uncalı Mahallesi',-,Konyaaltı,6803245,1300 TRY,-,-,160m
1760,-,Hayır,-,3,Atamey emlak tan full eşyalı 1+1 side de daire,-,75m,1000.0,2019-02-01 00:00:00,Side Mahallesi',-,Manavgat,6901937,200 TRY,-,-,80m
1761,-,Hayır,Klimalı,8,Eski larada ful deniz manzarali5+1eşyalı,5+1,195m,5000.0,2019-02-01 00:00:00,Fener Mahallesi',2,Muratpaşa,6883791,5000 TRY,11-20,2. Kat,230m
1762,-,Evet,Klimalı,6,Alanya mahmutlar da kiralık eşyalı 2+1 daire,2+1,110m,1100.0,2019-02-01 00:00:00,Mahmutlar Mahallesi',2,Alanya,6941150,1100 TRY,5-10,2. Kat,120m
1763,-,Hayır,Klimalı,3,Galeri den dedeman akra barut karşısı 2+1 ayrı mutfak eşyalı,2+1,125m,1850.0,2019-02-01 00:00:00,Şirinyalı Mahallesi',1,Muratpaşa,6940507,1850 TRY,5-10,3. Kat,150m
1764,-,Hayır,Merkezi Doğalgaz,3,Lux site icinde 2+1 ayri mutfakli,2+1,110m,2750.0,2019-02-01 00:00:00,Güzeloba Mahallesi',2,Muratpaşa,6882061,2750 TRY,1,3. Kat,130m
1765,-,Hayır,-,8,Alanya mahmutlarda kiralık 3+1 eşyalı lüx dublex,-,149m,2000.0,2019-02-01 00:00:00,Mahmutlar Mahallesi',-,Alanya,6880988,-,-,-,150m
1766,-,Hayır,Klimalı,9,Kundu oteller bölgesinde site içerisinde mobleli kiralık daireler,3+1,180m,2250.0,2019-02-01 00:00:00,Kemerağzı Mahallesi',2,Aksu,6216065,-,5-10,1. Kat,180m
1767,-,Hayır,Klimalı,5,1,1+1,95m,750.0,2019-02-01 00:00:00,Hurma Mahallesi',1,Konyaaltı,6881153,750 TRY,3,Kot 3,95m
1768,-,Evet,-,9,Yenigün de yeni dünya sitesinde 3+1 kiralık daire,-,130m,2000.0,2019-02-01 00:00:00,Yenigün Mahallesi',-,Muratpaşa,6861738,2000 TRY,-,-,150m
1769,-,Hayır,Isıtma yok,4,Konyaaltı öğretmenevi mah  de kiralık dubleks daire,2+1,150m,1400.0,2019-02-01 00:00:00,Öğretmenevleri Mahallesi',2,Konyaaltı,6877848,1400 TRY,11-20,3. Kat,170m
1770,-,Hayır,-,8,Antalya konyaaltı uncalı mahallesi havuzlusite kiralık 3+1 daire,-,165m,3000.0,2019-02-01 00:00:00,Uncalı Mahallesi',-,Konyaaltı,5928908,3000 TRY,-,-,185m
1771,-,Hayır,-,4,Antalya konyaaltı liman mah kiralık 2+1ful eşyalı daire,-,95m,2300.0,2019-02-01 00:00:00,Liman Mahallesi',-,Konyaaltı,6942813,2300 TRY,-,-,110m
1772,-,Hayır,Klimalı,5,Meydan kavşağında tramvaya 10 adım kiralık 3+1 daire,3+1,140m,800.0,2019-02-01 00:00:00,Kızıltoprak Mahallesi',1,Muratpaşa,6942420,-,11-20,3. Kat,150m
1773,-,Hayır,-,5,Kızıltoprak meydan tıp arkası 3+1 yüksek giriş,-,120m,1100.0,2019-02-01 00:00:00,Kızıltoprak Mahallesi',-,Muratpaşa,6942404,-,-,-,125m
1774,Eşyalı,Hayır,Isıtma yok,2,Güzeloba raufdenktaş ta kiralık eşyalı daire 1+1 1100tl,1+1,50m,1100.0,2019-02-01 00:00:00,Güzeloba Mahallesi',1,Muratpaşa,6944832,-,4,Düz giriş,55m
1775,-,Hayır,-,3,Ahatlıda ulusoy caddesine yakın 160 m2 3+1 arakat,-,160m,950.0,2019-02-01 00:00:00,Ahatlı Mahallesi',-,Kepez,6879336,950 TRY,-,-,180m
1776,-,Hayır,Isıtma yok,5,Sıfır daire,2+1,110m,1200.0,2019-02-01 00:00:00,Hurma Mahallesi',1,Konyaaltı,6878193,-,0 (Yeni),Kot 1,100m
1777,Eşyalı,Hayır,Klimalı,4,Kiralık obagöl de 1+1 eşyalı daire 900 tl,1+1,54m,900.0,2019-02-01 00:00:00,Oba Mahallesi',1,Alanya,6877621,900 TRY,11-20,1. Kat,55m
1778,-,Hayır,-,4,Meydankavağı 2+1 105m2 yüksek giriş,-,105m,1000.0,2019-02-01 00:00:00,Meydankavağı Mahallesi',-,Muratpaşa,6943449,-,-,-,115m
1779,-,Hayır,Merkezi Doğalgaz,5,1+1 eşyali kiralik daire limanda,1+1,65m,2000.0,2019-02-01 00:00:00,Liman Mahallesi',1,Konyaaltı,6876214,2000 TRY,2,Kot 2,75m
1780,-,Hayır,-,4,Konyaaltı gürsu mahallesinde 3+1 160m2 1850tl kiralık daire,-,160m,1500.0,2019-02-01 00:00:00,Altınkum Mahallesi',-,Konyaaltı,6848322,-,-,-,180m
1781,-,Hayır,-,5,Mahmutlar 2+1 eşyalı daire kiralık,-,120m,1000.0,2019-02-01 00:00:00,Mahmutlar Mahallesi',-,Alanya,6663966,1000 TRY,-,-,120m
1782,-,Hayır,Klimalı,5,Muratpaşa memurevleri mahallesi masrafız 2+1 kiralık,2+1,100m,800.0,2019-02-01 00:00:00,Memurevleri Mahallesi',1,Muratpaşa,6902839,800 TRY,20 ve üzeri,4. Kat,110m
1783,-,Hayır,-,4,Konyaaltı limanda eşyalı kiralık daire,-,96m,1300.0,2019-02-01 00:00:00,Liman Mahallesi',-,Konyaaltı,6926206,1300 TRY,-,-,100m
1784,-,Hayır,-,4,Hurma homes dan havuzlu site içi full eşyalı bahçe katı 1+1,-,50m,1250.0,2019-02-01 00:00:00,Hurma Mahallesi',-,Konyaaltı,6925041,1250 TRY,-,-,55m
1785,-,Hayır,-,4,Hurma da kiralıkkapalı havuzlu lüx site içerisinde 2+1 ful eşyalı,-,100m,1750.0,2019-02-01 00:00:00,Hurma Mahallesi',-,Konyaaltı,6934540,-,-,-,110m
1786,-,Hayır,Klimalı,2,Lara şirinyalı da 3+1 kiralık daire,3+1,170m,2000.0,2019-02-01 00:00:00,Şirinyalı Mahallesi',1,Muratpaşa,6476831,-,11-20,2. Kat,170m
1787,-,Hayır,-,4,Konyaaltı hurma da kiralık sıfır klimalı ankastralı 2+1 daire,-,90m,1100.0,2019-02-01 00:00:00,Hurma Mahallesi',-,Konyaaltı,6933233,-,-,-,100m
1788,-,Hayır,Klimalı,4,Antalya muratpaşa yıldız caddesi 3 kat 130m2 otoparklı 850tl,3+1,125m,850.0,2019-02-01 00:00:00,Yıldız Mahallesi',1,Muratpaşa,6923381,850 TRY,11-20,3. Kat,135m
1789,-,Hayır,-,4,Konyaaltı liman da dogalgazlı kiralık dubleks daire,-,100m,2000.0,2019-02-01 00:00:00,Liman Mahallesi',-,Konyaaltı,6935031,-,-,-,110m
1790,-,Hayır,-,4,Konyaaltı liman da  site içinde  lüx eşyalı  havuzlu 2+1,-,80m,2500.0,2019-02-01 00:00:00,Liman Mahallesi',-,Konyaaltı,6934800,3000 TRY,-,-,90m
1791,-,Hayır,-,5,Yüksekalan mah 2+1 giriş katta amerikan mutfaklı kiralık daire,-,75m,800.0,2019-02-01 00:00:00,Yüksekalan Mahallesi',-,Muratpaşa,6933298,-,-,-,85m
1792,-,Hayır,Isıtma yok,2,Beycan emlaktan kışla mahallesi kiralık dubleks,4+1,210m,1000.0,2019-02-01 00:00:00,Kışla Mahallesi',1,Muratpaşa,6477984,1000 TRY,11-20,Çatı Dubleks,210m
